act_key,avg_presence,avg_people_cnt,avg_activity,max_activity,cnt,first_eventtime,lastStatus,부재,,,
5540377,0,0,0,0,0,,,부재,,,
5540378,0,0,0,0,0,,,부재,,,
5540379,1,2,3.0966666,6.8257,6,,,재실,,,
5540380,1,2,4.67521427,25.8373,14,,,재실,,,
5540381,0,2,0,0,0,,,재실,,,
5540382,0,0,0,0,0,,,부재,,,
5540383,0,0,0,0,0,,,부재,,,
5540384,0,0,0,0,0,,,부재,,,
5540385,0,0,0,0,0,,,부재,,,
5540386,1,2,0.23333637,2.5589,11,,,재실,,,
5540387,0,0,0,0,0,,,부재,,,
5540388,0,0,0,0,0,,,부재,,,
5540389,0,0,0,0,0,,,부재,,,
5540390,1,2,9.10875465,47.3063,11,,,재실,,,
5540391,0,0,0,0,0,,,부재,,,
5540392,0,0,0,0,0,,,부재,,,
5540393,0,0,0,0,0,,,부재,,,
5540394,0,0,0,0,0,,,부재,,,
5540395,0,0,0,0,0,,,부재,,,
5540396,0,0,0,0,0,,,부재,,,
5540397,0,0,0,0,0,,,부재,,,
5540398,0,0,0,0,0,,,부재,,,
5540399,0,0,0,0,0,,,부재,,,
5540400,0,0,0,0,0,,,부재,,,
5540401,0,0,0,0,0,,,부재,,,
5540402,0,0,0,0,0,,,부재,,,
5540403,0,0,0,0,0,,,부재,,,
5540404,0,0,0,0,0,,,부재,,,
5540405,0,0,0,0,0,,,부재,,,
5540406,0,0,0,0,0,,,부재,,,
5540407,0,0,0,0,0,,,부재,,,
5540408,0,0,0,0,0,,,부재,,,
5540409,0,0,0,0,0,,,부재,,,
5540410,0,0,0,0,0,,,부재,,,
5540411,0,0,0,0,0,,,부재,,,
5540412,0,0,0,0,0,,,부재,,,
5540413,0,0,0,0,0,,,부재,,,
5540414,0,0,0,0,0,,,부재,,,
5540415,0,0,0,0,0,,,부재,,,
5540416,0,0,0,0,0,,,부재,,,
5540417,0,0,0,0,0,,,부재,,,
5540418,0,0,0,0,0,,,부재,,,
5540419,0,0,0,0,0,,,부재,,,
5540420,0,0,0,0,0,,,부재,,,
5540421,0,0,0,0,0,,,부재,,,
5540422,0,0,0,0,0,,,부재,,,
5540423,0,0,0,0,0,,,부재,,,
5540424,0,0,0,0,0,,,부재,,,
5540425,0,0,0,0,0,,,부재,,,
5540426,0,0,0,0,0,,,부재,,,
5540427,0,0,0,0,0,,,부재,,,
5540428,0,0,0,0,0,,,부재,,,
5540429,0,0,0,0,0,,,부재,,,
5540430,0,0,0,0,0,,,부재,,,
5540431,0,0,0,0,0,,,부재,,,
5540432,0,0,0,0,0,,,부재,,,
5540433,0,0,0,0,0,,,부재,,,
5540434,0,0,0,0,0,,,부재,,,
5540435,0,0,0,0,0,,,부재,,,
5540436,0,0,0,0,0,,,부재,,,
5540437,0,0,0,0,0,,,부재,,,
5540438,0,0,0,0,0,,,부재,,,
5540439,0,0,0,0,0,,,부재,,,
5540440,0,0,0,0,0,,,부재,,,
5540441,0,0,0,0,0,,,부재,,,
5540442,0,0,0,0,0,,,부재,,,
5540443,0,0,0,0,0,,,부재,,,
5540444,0,0,0,0,0,,,부재,,,
5540445,0,0,0,0,0,,,부재,,,
5540446,0,0,0,0,0,,,부재,,,
5540447,0,0,0,0,0,,,부재,,,
5540448,0,0,0,0,0,,,부재,,,
5540449,0,0,0,0,0,,,부재,,,
5540450,0,0,0,0,0,,,부재,,,
5540451,0,0,0,0,0,,,부재,,,
5540452,0,0,0,0,0,,,부재,,,
5540453,0,0,0,0,0,,,부재,,,
5540454,0,0,0,0,0,,,부재,,,
5540455,0,0,0,0,0,,,부재,,,
5540456,0,0,0,0,0,,,부재,,,
5540457,0,0,0,0,0,,,부재,,,
5540458,0,0,0,0,0,,,부재,,,
5540459,0,0,0,0,0,,,부재,,,
5540460,0,0,0,0,0,,,부재,,,
5540461,0,0,0,0,0,,,부재,,,
